RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE
5	-1033332	-1529219	13.721944	102.714444	134319	1024252	48PTA5282918145	ND48-09	H	STMI		CB	00			CB	N			O	OTOCH	O Toch	O Toch	TOCH O	Toch, O	Toch, O		2000-11-14
5	-1033132	-1528680	14.333333	106	142000	1060000	48PXA0783884825	ND48-07	T	MT		CB	00			CB	N				PHNUMTAPUNGKAN	Phnum Tapung Kan	Phnum Tapung Kan	TAPUNGKAN PHNUM	Tapung Kan, Phnum	Tapung Kan, Phnum		1994-04-16
5	-3250858	-4619293	14.302306	103.101334	141808	1030605	48PTA9519981999	ND48-05	T	MT		TH	28			CB	V			Phnom	PHNOMSEROUY	Phnom Serouy	Phnom Serouy	SEROUY PHNOM	Serouy, Phnom	Serouy, Phnom		2010-05-12
5	-3251991	-4613625	14.371007	104.580846	142216	1043451	48PVA5480888799	ND48-06	T	PASS		TH	00			CB	V				COLDEDONAO	Col de Don Ao	Col de Don Ao	DONAO COLDE	Don Ao, Col de	Don Ao, Col de		2010-05-12
5	-3248815	-4850809	14.375127	104.127943	142230	1040741	48PVA0597789392	ND48-06	T	PASS		TH	00			CB	V				CHONGKEN	Chong Ken	Chong Ken	KEN CHONG	Ken, Chong	Ken, Chong		2010-05-12
5	-1033087	-1528542	14.350442	103.268521	142102	1031607	48PUA1327887183	ND48-05	T	PASS		TH	00			CB	V			Chong	CHONGTAMUAN	Chong Ta Muan	Chong Ta Muan	TAMUAN CHONG	Ta Muan, Chong	Ta Muan, Chong		2010-05-12
5	-3254653	-4618567	14.373806	104.121398	142226	1040717	48PVA0527189248	ND48-06	T	PASS		TH	00			CB	V				PHLOVCHRAKTASA	Phlov Chrâk Tasa	Phlov Chrak Tasa	CHRAKTASA PHLOV	Chrâk Tasa, Phlov	Chrak Tasa, Phlov		2010-05-12
5	-3247539	-4621048	14.341614	104.050057	142030	1040300	48PUA9756485718	ND48-06	T	PASS		TH	00			CB	V				CHONGTARAKA	Chong Taraka	Chong Taraka	TARAKA CHONG	Taraka, Chong	Taraka, Chong		2010-05-12
5	-3254992	-4619184	14.411861	104.277361	142443	1041638	48PVA2210193399	ND48-06	T	MT		TH	30			CB	V				PHNUMSVAY	Phnum Svay	Phnum Svay	SVAY PHNUM	Svay, Phnum	Svay, Phnum		2010-05-12
5	-1023879	-1511018	14.323825	103.147037	141926	1030849	48PUA0015084340	ND48-05	T	PASS		TH	00			CB	V			Chong	CHONGKANTHOPPHET	Chong Kanthop Phet	Chong Kanthop Phet	KANTHOPPHET CHONG	Kanthop Phet, Chong	Kanthop Phet, Chong		2010-05-12
5	-1033434	-1529458	14.400183	103.616076	142401	1033658	48PUA5079892433	ND48-06	T	HLL		CB	00			CB	N				PHNUMTRANEL	Phnum Trâ Nĕl	Phnum Tra Nel	TRANEL PHNUM	Trâ Nĕl, Phnum	Tra Nel, Phnum		2010-05-13
5	-3256883	-4622886	14.416667	103.533333	142500	1033200	48PUA4188894312	ND48-06	T	HLL		CB	00			CB	N				PHNUMVENG	Phnum Vêng	Phnum Veng	VENG PHNUM	Vêng, Phnum	Veng, Phnum		1994-04-16
5	-1024010	-1511312	14.35	104.15	142100	1040900	48PVA0834586604	ND48-06	T	HLL		CB	00			CB	N				PHNUMKEI	Phnum Kei	Phnum Kei	KEI PHNUM	Kei, Phnum	Kei, Phnum		1994-04-16
5	10775688	11585352	14.357129	104.437902	142126	1042616	48PVA3939387297	ND48-06	T	PASS		TH	00			CB	V			Chong	CHONGKRABANKRABAI	Chong Kraban Krabai	Chong Kraban Krabai	KRABANKRABAI CHONG	Kraban Krabai, Chong	Kraban Krabai, Chong		2010-05-12
5	10775686	11584504	14.369578	104.383421	142210	1042300	48PVA3352288689	ND48-06	T	PASS		TH	00			CB	V			Chong	CHONGKHONKHOP	Chong Khon Khop	Chong Khon Khop	KHONKHOP CHONG	Khon Khop, Chong	Khon Khop, Chong		2010-05-12
5	-3247201	-4602491	14.434695	103.699361	142605	1034158	48PUA5980096199	ND48-06	T	PASS		TH	00			CB	V				PASSEDECHAM	Passe de Cham	Passe de Cham	CHAM PASSEDE	Cham, Passe de	Cham, Passe de		2010-05-12
5	-3253256	-4615898	14.390411	104.680113	142325	1044048	48PVA6551490928	ND48-06	T	MT		CB,TH				CB	N			Phnum	PHNUMPREAHVIHEAR	Phnum Preăh Vihéar	Phnum Preah Vihear	PREAHVIHEAR PHNUM	Preăh Vihéar, Phnum	Preah Vihear, Phnum		2012-05-02
5	-3247634	-4603445	14.232278	105.13275	141356	1050758	48PWA1432173419	ND48-07	T	MT		CB,TH				CB	N				PHNUMDANGREK	Phnum Dângrêk	Phnum Dangrek	DANGREK PHNUM	Dângrêk, Phnum	Dangrek, Phnum		2012-05-01
5	-3247321	-4850817	14.385827	104.977149	142309	1045838	48PVA9753690398	ND48-06	T	MT		CB,TH				CB	N				PHANOMCHONGSUNG	Phanom Chong Sung	Phanom Chong Sung	CHONGSUNG PHANOM	Chong Sung, Phanom	Chong Sung, Phanom		2012-05-02
5	-2669341	-4851651	17.3	106.15	171800	1060900	48QXE2222013108	NE48-11	T	MT		LA	00			CB	N				PHOUVONG	Phou Vông	Phou Vong	VONG PHOU	Vông, Phou	Vong, Phou		1994-04-22
5	-2668780	-4851633	14.316667	106	141900	1060000	48PXA0784682981	ND48-07	T	HLL		LA	02			CB	N				PHOUTAPOUNGNOY	Phou Tapoung Noy	Phou Tapoung Noy	TAPOUNGNOY PHOU	Tapoung Noy, Phou	Tapoung Noy, Phou		2010-12-28
5	-2669545	-4851638	14.016667	106.166667	140100	1061000	48PXA2598849880	ND48-07	H	STM		LA	02			CB	N				HOUAYXOT	Houay Xot	Houay Xot	XOT HOUAY	Xot, Houay	Xot, Houay		2010-12-28
5	-2667923	-3683597	14.1	105.75	140600	1054500	48PWA8096058915	ND48-07	H	STM		LA	02			CB	N				TONLEROPOU	Tônlé Rôpŏu	Tonle Ropou	ROPOU TONLE	Rôpŏu, Tônlé	Ropou, Tonle		2010-12-28
5	-2666586	-3681477	14.283333	106.033333	141700	1060200	48PXA1145879310	ND48-07	T	HLL		LA	02			CB	N				PHNUMNAMKHMER	Phnum Nam Khmêr	Phnum Nam Khmer	NAMKHMER PHNUM	Nam Khmêr, Phnum	Nam Khmer, Phnum		2010-12-28
5	-3721425	-4946228	10.25	105.916667	101500	1055500	48PXS0038933196	NC48-07	H	STM		VM	00			CB	N				MEKONGK	Mékôngk	Mekongk	MEKONGK	Mékôngk	Mekongk		1998-10-16
6	-1024277	-4851629	11.666667	106.216667	114000	1061300	48PXT3261589980	NC48-03	H	STM		CB	00			CB	N				PREKKLONG	Prêk Klong	Prek Klong	KLONG PREK	Klong, Prêk	Klong, Prek		1994-04-16
5	-1024749	-1513674	13.110278	102.675556	130637	1024032	48PTV4798350491	ND48-09	H	STM		CB	00			CB	N			Stœ̆ng	STOENGPAILIN	Stœ̆ng Pailĭn	Stoeng Pailin	PAILIN STOENG	Pailĭn, Stœ̆ng	Pailin, Stoeng		2000-12-05
5	-1023457	-1509993	11.966667	106.216667	115800	1061300	48PXU3247123159	NC48-03	H	STM		CB	00			CB	N				PREKCHRIV	Prêk Chriv	Prek Chriv	CHRIV PREK	Chriv, Prêk	Chriv, Prek		1994-04-16
5	-1024287	-1512008	13.566667	102.816667	133400	1024900	48PTA6373400859	ND48-09	H	STM		CB	00			CB	N				STOENGKOB	Stœ̆ng Kob	Stoeng Kob	KOB STOENG	Kob, Stœ̆ng	Kob, Stoeng		1994-04-16
5	-2665968	-4851635	14.333333	106.166667	142000	1061000	48PXA2581384909	ND48-07	H	STMI		LA	00			CB	N				HOUAYLOUNG	Houay Loung	Houay Loung	LOUNG HOUAY	Loung, Houay	Loung, Houay		1994-04-22
5	-1023524	-1510174	11.966667	106.9	115800	1065400	48PYU0689323579	NC48-04	H	STM		CB	00			CB	N				PREKDAKHUOT	Prêk Dăk Huŏt	Prek Dak Huot	DAKHUOT PREK	Dăk Huŏt, Prêk	Dak Huot, Prek		1998-10-16
5	-1023657	-1510516	13.316667	107.35	131900	1072100	48PYV5457473358	ND48-12	H	STM		CB	00			CB	N				PREKDRANG	Prêk Drang	Prek Drang	DRANG PREK	Drang, Prêk	Drang, Prek		1996-10-07
6	-3732958	-4962091	10.5	106.55	103000	1063300	48PXS6962661113	NC48-07	H	STM		VM	00			CB	N				SONGVAMCOTAY	Sông Vàm Cỏ Tây	Song Vam Co Tay	VAMCOTAY SONG	Vàm Cỏ Tây, Sông	Vam Co Tay, Song		1995-04-14
5	-3253648	-4616582	13.705188	102.678146	134219	1024041	48PTA4888316328	ND48-09	H	STMI		CB,TH				CB	N				ONEANG	O Néang	O Neang	NEANG O	Néang, O	Neang, O		2010-08-31
5	-3253645	-4616577	13.316667	103.4	131900	1032400	48PUV2669672713	ND48-09	H	STM		CB,TH				CB	N				STOENGMONGKOLBOREI	Stœ̆ng Môngkól Borei	Stoeng Mongkol Borei	MONGKOLBOREI STOENG	Môngkól Borei, Stœ̆ng	Mongkol Borei, Stoeng		2010-08-31
5	-3253238	-4615866	13.063306	102.57254	130348	1023421	48PTV3675945397	ND48-09	H	STM		CB,TH				CB	N				STOOENGPREAHPUTTH	Stoœ̆ng Preăh Pŭtth	Stooeng Preah Putth	PREAHPUTTH STOOENG	Preăh Pŭtth, Stoœ̆ng	Preah Putth, Stooeng		2010-08-31
5	-3247505	-4603009	13.093604	102.596345	130537	1023547	48PTV3937348726	ND48-09	H	STM		CB,TH				CB	N			O	ODA	O Da	O Da	DA O	Da, O	Da, O		2010-08-31
5	-3249440	-4607478	12.857558	102.503427	125127	1023012	48PTV2903722698	ND48-13	T	MT		CB	29			CB	V				PHNOMSVAY	Phnom Svay	Phnom Svay	SVAY PHNOM	Svay, Phnom	Svay, Phnom		2011-06-21
5	10775683	11584501	14.37249	104.239169	142221	1041421	48PVA1796989058	ND48-06	T	PASS		TH	00			CB	N	tha		Chong	CHONGPAUNG	Chong Pa Ung	Chong Pa Ung	PAUNG CHONG	Pa Ung, Chong	Pa Ung, Chong		2010-05-12
5	10775684	11584502	14.377459	104.24585	142239	1041445	48PVA1869189605	ND48-06	T	PASS		TH	00			CB	N	tha		Chong	CHONGKABANCHAROK	Chong Kaban Charok	Chong Kaban Charok	KABANCHAROK CHONG	Kaban Charok, Chong	Kaban Charok, Chong		2010-05-12
5	10775688	11584506	14.357129	104.437902	142126	1042616	48PVA3939387297	ND48-06	T	PASS		TH	00			CB	N	tha		Chong	CHONGKRABANKRALAI	Chong Kraban Kralai	Chong Kraban Kralai	KRABANKRALAI CHONG	Kraban Kralai, Chong	Kraban Kralai, Chong		2010-05-12
5	10775686	11585351	14.369578	104.383421	142210	1042300	48PVA3352288689	ND48-06	T	PASS		TH	00			CB	N			Chong	CHONGDONPO	Chong Don Po	Chong Don Po	DONPO CHONG	Don Po, Chong	Don Po, Chong		2010-05-12
5	-3254644	-4618547	14.316667	105	141900	1050000	48PWA0000082749	ND48-07	T	MT		TH	00			CB	N				PHNOMSAMPOHOU	Phnom Sam Pohou	Phnom Sam Pohou	SAMPOHOU PHNOM	Sam Pohou, Phnom	Sam Pohou, Phnom		1996-08-06
5	-1024858	-1513974	14.357253	104.568788	142126	1043408	48PVA5350687281	ND48-06	T	PASS		TH	00			CB	N				CHONGPHOENGPHRAPHUT	Chong Phoeng Phra Phut	Chong Phoeng Phra Phut	PHOENGPHRAPHUT CHONG	Phoeng Phra Phut, Chong	Phoeng Phra Phut, Chong		2010-05-12
5	-3232496	-4578203	14.4	104.933333	142400	1045600	48PVA9281391966	ND48-06	T	PASS		TH	00			CB	N				COLDANSEH	Col d’ An Seh	Col d' An Seh	ANSEH COLD	An Seh, Col d’	An Seh, Col d'		1994-04-16
5	-1033207	-1528886	14.35	104.533333	142100	1043200	48PVA4968186486	ND48-06	T	PASS		TH	00			CB	N				CHONGTHAPU	Chong Thap U	Chong Thap U	THAPU CHONG	Thap U, Chong	Thap U, Chong		1994-04-16
5	-1024859	-1513976	14.433333	104.85	142600	1045100	48PVA8383295657	ND48-06	T	PASS		TH	00			CB	N				CHONGPHOI	Chong Phoi	Chong Phoi	PHOI CHONG	Phoi, Chong	Phoi, Chong		1994-04-16
5	-3255993	-4850823	14.45	104.7	142700	1044200	48PVA6766797516	ND48-06	T	PASS		TH	00			CB	N				CHONGTATHAO	Chong Ta Thao	Chong Ta Thao	TATHAO CHONG	Ta Thao, Chong	Ta Thao, Chong		1994-04-16
5	10775687	11584505	14.371063	104.401696	142216	1042406	48PVA3549388848	ND48-06	T	PASS		TH	00			CB	N			Chong	CHONGAINAK	Chong Ai Nak	Chong Ai Nak	AINAK CHONG	Ai Nak, Chong	Ai Nak, Chong		2010-05-12
5	-3247497	-4602987	14.433333	104.8	142600	1044800	48PVA7844395661	ND48-06	T	PASS		TH	00			CB	N				COLDEDAMPHKA	Col de Dam Phka	Col de Dam Phka	DAMPHKA COLDE	Dam Phka, Col de	Dam Phka, Col de		1994-04-16
5	-3254978	-4619148	14.403198	104.724196	142412	1044327	48PVA7026892337	ND48-06	T	MT		TH	00			CB	N	tha		Phnum	PHNUMPRASETTHISOM	Phnum Prâsĕt Thisom	Phnum Praset Thisom	PRASETTHISOM PHNUM	Prâsĕt Thisom, Phnum	Praset Thisom, Phnum		2010-05-12
5	-3255958	11585445	14.370933	104.412221	142215	1042444	48PVA3662788831	ND48-06	T	PASS		TH	00			CB	N	tha		Chong	CHONGTAPROM	Chong Ta Prom	Chong Ta Prom	TAPROM CHONG	Ta Prom, Chong	Ta Prom, Chong		2010-05-12
5	-3250858	11585451	14.302306	103.101334	141808	1030605	48PTA9519981999	ND48-05	T	MT		TH	28			CB	NS	tha		เขา	เขาพนมไก่	เขาพนมไก่	เขาพนมไก่	เขาพนมไก่	เขาพนมไก่	เขาพนมไก่		2010-05-12
5	-3254275	-4617897	13.608595	102.613368	133631	1023648	48PTA4176905706	ND48-09	H	STM		TH	00			CB	N				PREKNAMSAI	Prêk Năm Sai	Prek Nam Sai	NAMSAI PREK	Năm Sai, Prêk	Nam Sai, Prek		2010-03-22
5	10775655	11584473	14.286417	103.065614	141711	1030356	48PTA9133080272	ND48-05	T	PASS		TH	00			CB	N			Chong	CHONGKRADON	Chong Kradon	Chong Kradon	KRADON CHONG	Kradon, Chong	Kradon, Chong		2010-05-12
5	10775656	11584474	14.272593	103.054722	141621	1030317	48PTA9014278753	ND48-05	T	PASS		TH	00			CB	N			Chong	CHONGOMALU	Chong O Malu	Chong O Malu	OMALU CHONG	O Malu, Chong	O Malu, Chong		2010-05-12
5	-1033206	-4850796	12.582218	102.65121	123456	1023904	48PTU4481092075	ND48-13	T	PK		TH	00			CB	N				KHAOTHAPKADAI	Khao Thap Kadai	Khao Thap Kadai	THAPKADAI KHAO	Thap Kadai, Khao	Thap Kadai, Khao		2011-06-29
5	-3249258	-4850791	11.962174	102.791862	115744	1024731	48PTU5953623332	NC48-01	T	HLL		TH	49			CB	N	tha		Khao	KHAOKHLONGMANAO	Khao Khlong Manao	Khao Khlong Manao	KHLONGMANAO KHAO	Khlong Manao, Khao	Khlong Manao, Khao		2011-07-21
5	-1033000	-4851631	12.635652	102.593951	123808	1023538	48PTU3863998045	ND48-13	T	PK		TH	00			CB	N				KHAOTABAT	Khao Ta Bat	Khao Ta Bat	TABAT KHAO	Ta Bat, Khao	Ta Bat, Khao		2011-06-29
5	-3253494	-4850794	12.465866	102.741348	122757	1024429	48PTU5449779114	ND48-13	T	MT		TH	00			CB	N	tha		Khao	KHAOPLAIKHLONGPUNHAENG	Khao Plai Khlong Pun Haeng	Khao Plai Khlong Pun Haeng	PLAIKHLONGPUNHAENG KHAO	Plai Khlong Pun Haeng, Khao	Plai Khlong Pun Haeng, Khao		2011-07-09
5	11227146	13063619	13.022451	102.489314	130121	1022922	48PTV2768340964	ND48-09	T	PASS		TH	48			CB	N	tha		Chong	CHONGBANNONGKRATHING	Chong Ban Nong Krathing	Chong Ban Nong Krathing	BANNONGKRATHING CHONG	Ban Nong Krathing, Chong	Ban Nong Krathing, Chong		2011-06-18
5	11227145	13063617	13.04705	102.47704	130249	1022837	48PTV2637843699	ND48-09	T	PASS		TH	48			CB	N	tha		Chong	CHONGBUENGCHANANGLANG	Chong Bueng Chanang Lang	Chong Bueng Chanang Lang	BUENGCHANANGLANG CHONG	Bueng Chanang Lang, Chong	Bueng Chanang Lang, Chong		2011-06-18
5	-3249257	13101456	11.745531	102.911824	114444	1025443	48PTT7242699260	NC48-01	T	PK		TH	00			CB	N				PHNUMVONG	Phnŭm Vóng	Phnum Vong	VONG PHNUM	Vóng, Phnŭm	Vong, Phnum		2012-03-28
5	-1032240	-1525985	14.390857	104.68059	142327	1044050	48PVA6556690978	ND48-06	S	RUIN		CB	13			CB	N				PRASATPREAHVIHEAR	Prasat Preăh Vihéar	Prasat Preah Vihear	PRASATPREAHVIHEAR	Prasat Preăh Vihéar	Prasat Preah Vihear		2012-03-28
5	11228503	13064406	13.103277	102.431237	130612	1022552	48PTV2147149973	ND48-09	T	PASS		TH	48			CB	N	tha		Chong	CHONGBANMONGPA	Chong Ban Mong Pa	Chong Ban Mong Pa	BANMONGPA CHONG	Ban Mong Pa, Chong	Ban Mong Pa, Chong		2011-06-20
5	11228506	13064431	13.084614	102.441683	130505	1022630	48PTV2258447896	ND48-09	T	PASS		TH	48			CB	N	tha		Chong	CHONGBANLAEM	Chong Ban Laem	Chong Ban Laem	BANLAEM CHONG	Ban Laem, Chong	Ban Laem, Chong		2011-06-20
5	-3250858	11585450	14.302306	103.101334	141808	1030605	48PTA9519981999	ND48-05	T	MT		TH	28			CB	N	tha		Khao	KHAOPHANOMKAI	Khao Phanom Kai	Khao Phanom Kai	PHANOMKAI KHAO	Phanom Kai, Khao	Phanom Kai, Khao		2010-05-12
5	-3728135	-4955486	13.916667	107.466667	135500	1072800	48PYA6654639891	ND48-12	H	STM		VM	00			CB	N				PREKSATHAY	Prêk Sathay	Prek Sathay	SATHAY PREK	Sathay, Prêk	Sathay, Prek		1998-10-16
5	-3732053	-4960817	10.8	105.05	104800	1050300	48PWS0546693866	NC48-06	H	STM		VM	00			CB	N				STOENGTAKEV	Stœ̆ng Takêv	Stoeng Takev	TAKEV STOENG	Takêv, Stœ̆ng	Takev, Stoeng		1995-04-14
5	-3728381	-4955854	10.816667	105.333333	104900	1052000	48PWS3643795728	NC48-06	H	STM		VM	00			CB	N				PREKKRAOM	Prêk Kraôm	Prek Kraom	KRAOM PREK	Kraôm, Prêk	Kraom, Prek		1995-04-14
5	-3729028	-4956830	10.966667	105.483333	105800	1052900	48PWT5280812336	NC48-06	H	STM		VM	00			CB	N				PREKTRABEK	Prêk Trâbêk	Prek Trabek	TRABEK PREK	Trâbêk, Prêk	Trabek, Prek		1995-04-14
6	-3732957	-4962089	10.5	106.55	103000	1063300	48PXS6962661113	NC48-07	H	STM		VM	00			CB	N				SONGVAMCODONG	Sông Vàm Cỏ Ðông	Song Vam Co Dong	VAMCODONG SONG	Vàm Cỏ Ðông, Sông	Vam Co Dong, Song		1995-04-14
5	-3723055	-4948366	13.616667	107.583333	133700	1073500	48PYA7951706816	ND48-12	H	STM		VM	00			CB	N				IANAN	Ia Nan	Ia Nan	NAN IA	Nan, Ia	Nan, Ia		1995-04-14
5	-3723090	-4948419	11.35	105.916667	112100	1055500	48PXT0002454837	NC48-03	H	STM		VM	00			CB	N				PREKANLONGKEI	Prêk Ânlóng Kei	Prek Anlong Kei	ANLONGKEI PREK	Ânlóng Kei, Prêk	Anlong Kei, Prek		1995-04-14
6	-3720421	-4944889	10.933333	105.816667	105600	1054900	48PWT8923908729	NC48-07	H	STM		VM	00			CB	N				RACHLONGKHOT	Rạch Long Khốt	Rach Long Khot	LONGKHOT RACH	Long Khốt, Rạch	Long Khot, Rach		1995-04-14
6	-3711712	-4933061	11.6	105.9	113600	1055400	48PWT9811982478	NC48-03	H	STM		VM	00			CB	N				SUOIDAHA	Suối Ðà Ha	Suoi Da Ha	DAHA SUOI	Ðà Ha, Suối	Da Ha, Suoi		1995-04-14
6	-3714138	-4936353	10.383333	103.833333	102300	1035000	48PUS7228348030	NC48-05	H	CHNM		VM	00			CB	N				KINHGANHDAU	Kinh Gành Dầu	Kinh Ganh Dau	GANHDAU KINH	Gành Dầu, Kinh	Ganh Dau, Kinh		1995-04-14
5	-3715103	-4937742	9.514444	106.217778	93052	1061304	48PXR3366651963	NC48-11	H	STMD		VM	00			CB	N				TONLEBASAK	Tônlé Basăk	Tonle Basak	BASAK TONLE	Basăk, Tônlé	Basak, Tonle		2000-12-19
6	-3714649	-4937065	11.066667	106.266667	110400	1061600	48PXT3835523644	NC48-03	H	STM		VM	00			CB	N				RACHGOSUOI	Rạch Gò Suối	Rach Go Suoi	GOSUOI RACH	Gò Suối, Rạch	Go Suoi, Rach		1995-04-14
6	-3710227	-4931002	10.6	104.95	103600	1045700	48PVS9453171752	NC48-06	H	STM		VM	00			CB	N				RACHCAYDUONG	Rạch Cây Duong	Rach Cay Duong	CAYDUONG RACH	Cây Duong, Rạch	Cay Duong, Rach		1995-04-14
5	-3710454	-4931336	10.7	105.116667	104200	1050700	48PWS1275882811	NC48-06	H	STM		VM	00			CB	N				PREKMOATCHRUK	Prêk Moăt Chruk	Prek Moat Chruk	MOATCHRUK PREK	Moăt Chruk, Prêk	Moat Chruk, Prek		1995-04-14
5	-3717873	-4941529	11.633333	106.216667	113800	1061300	48PXT3263186293	NC48-03	H	STM		VM	00			CB	N				OKRAY	O Kray	O Kray	KRAY O	Kray, O	Kray, O		1995-04-14
5	-3708080	-4927670	11.483333	105.883333	112900	1055300	48PWT9634269571	NC48-03	H	STM		VM	00			CB	N				TONLEROTI	Tônlé Rôti	Tonle Roti	ROTI TONLE	Rôti, Tônlé	Roti, Tonle		1995-04-14
5	-3709500	-4929965	11.35	105.933333	112100	1055600	48PXT0184354843	NC48-03	H	STM		VM	00			CB	N				STOENGKAMPONGKDEI	Stœ̆ng Kâmpông Kdei	Stoeng Kampong Kdei	KAMPONGKDEI STOENG	Kâmpông Kdei, Stœ̆ng	Kampong Kdei, Stoeng		1995-04-14
5	-3710363	-4931208	10.85	105.85	105100	1055100	48PWS9290799524	NC48-07	H	STM		VM	00			CB	N				PREKKAMPONGROTEH	Prêk Kâmpóng Rôtéh	Prek Kampong Roteh	KAMPONGROTEH PREK	Kâmpóng Rôtéh, Prêk	Kampong Roteh, Prek		1995-04-14
5	-3710321	-4931149	11.65	106.466667	113900	1062800	48PXT5987988265	NC48-03	H	STM		VM	00			CB	N				TONLECHAM	Tonlé Chàm	Tonle Cham	CHAM TONLE	Chàm, Tonlé	Cham, Tonle		1995-04-14
6	-3708245	-4927927	10.9	105.033333	105400	1050200	48PWT0364304923	NC48-06	H	STMD		VM	00			CB	N				RACHBINHGHI	Rach Bình Ghi	Rach Binh Ghi	BINHGHI RACH	Bình Ghi, Rach	Binh Ghi, Rach		2005-06-15
5	-3710043	-4930729	10.783333	105.933333	104700	1055600	48PXS0203992178	NC48-07	H	STM		VM	00			CB	N				OKAMPONGROU	O Kâmpóng Roŭ	O Kampong Rou	KAMPONGROU O	Kâmpóng Roŭ, O	Kampong Rou, O		1995-04-14
5	-3256778	-4622605	12.383333	102.783333	122300	1024700	48PTU5898769943	ND48-13	T	PK		CB	00			CB	N				PHNUMTRIENG	Phnum Triĕng	Phnum Trieng	TRIENG PHNUM	Triĕng, Phnum	Trieng, Phnum		1994-04-16
6	-3732080	-4960856	10.983333	106.266667	105900	1061600	48PXT3839414428	NC48-07	H	STM		VM	00			CB	N				RACHTRAM	Rạch Tràm	Rach Tram	TRAM RACH	Tràm, Rạch	Tram, Rach		1995-04-14
5	-3709894	-4930531	11.583333	106.483333	113500	1062900	48PXT6173580901	NC48-03	H	STM		VM	00			CB	N				TONLECHAM	Tôn Lé Cham	Ton Le Cham	CHAM TONLE	Cham, Tôn Lé	Cham, Ton Le		1995-04-14
5	-3717893	-4941568	13.766667	107.45	134600	1072700	48PYA6491423270	ND48-12	H	STM		VM	00			CB	N				PREKYAKRI	Prêk Ya Kri	Prek Ya Kri	YAKRI PREK	Ya Kri, Prêk	Ya Kri, Prek		1995-04-14
5	-3720094	-4944417	13.283333	107.566667	131700	1073400	48PYV7809869901	ND48-12	H	STM		VM	00			CB	N				PEKYALAUPHLAH	Pêk Ya Lau Phlăh	Pek Ya Lau Phlah	YALAUPHLAH PEK	Ya Lau Phlăh, Pêk	Ya Lau Phlah, Pek		1995-04-14
5	-3710819	-4931845	11.683333	106.05	114100	1060300	48PXT1444091750	NC48-03	H	STM		VM	00			CB	N				PREKCHOR	Prêk Chôr	Prek Chor	CHOR PREK	Chôr, Prêk	Chor, Prek		1995-04-14
5	-3247365	-4850819	14.393433	104.8725	142336	1045221	48PVA8625591243	ND48-06	T	MT		CB	13			CB	V				PHANOMCHOT	Phanom Chot	Phanom Chot	CHOT PHANOM	Chot, Phanom	Chot, Phanom		2011-03-01
5	-1023310	-1509631	13.933088	102.783635	135559	1024701	48PTA6053141442	ND48-09	T	HLL		CB	00			CB	V				PHNUMCHHAT	Phnum Chhăt	Phnum Chhat	CHHAT PHNUM	Chhăt, Phnum	Chhat, Phnum		2010-11-19
5	-3250749	-4610323	13.666667	102.55	134000	1023300	48PTA3497312201	ND48-09	H	STMI		TH	00			CB	N				OCHROU	O Chrŏu	O Chrou	CHROU O	Chrŏu, O	Chrou, O		1994-04-16
5	-3250092	-4609045	12.383333	102.783333	122300	1024700	48PTU5898769943	ND48-13	T	PK		TH	00			CB	N				PHNUMTHUM	Phnum Thum	Phnum Thum	THUM PHNUM	Thum, Phnum	Thum, Phnum		1994-04-16
5	-3256281	-1528884	12.566667	102.65	123400	1023900	48PTU4466390356	ND48-13	T	MT		TH	00			CB	N				KHAOTHAPBANDAI	Khao Thap Bandai	Khao Thap Bandai	THAPBANDAI KHAO	Thap Bandai, Khao	Thap Bandai, Khao		1994-04-16
5	-3252343	-4614193	14.033333	102.916667	140200	1025500	48PTA7500852405	ND48-05	H	STM		TH	00			CB	N				STOENGOBAV	Stoeng O Bav	Stoeng O Bav	OBAV STOENG	O Bav, Stoeng	O Bav, Stoeng		1994-04-16
5	-3247637	-4603458	14.414212	103.603998	142451	1033614	48PUA4950593993	ND48-06	T	PASS		TH	00			CB	N				PASSEDEDON	Passe de Don	Passe de Don	DON PASSEDE	Don, Passe de	Don, Passe de		2010-05-12
5	-3247539	-4603094	14.341614	104.050057	142030	1040300	48PUA9756485718	ND48-06	T	PASS		TH	00			CB	N				CHONGDARAKA	Chong Daraka	Chong Daraka	DARAKA CHONG	Daraka, Chong	Daraka, Chong		2010-05-12
5	10775657	11584475	14.297953	103.092111	141753	1030532	48PTA9420081525	ND48-05	T	PASS		TH	00			CB	N			Chong	CHONGMEKHA	Chong Mekha	Chong Mekha	MEKHA CHONG	Mekha, Chong	Mekha, Chong		2010-05-12
5	10775658	11584476	14.327409	103.206236	141939	1031222	48PUA0654084686	ND48-05	T	PASS		TH	00			CB	N			Chong	CHONGCHANDAENG	Chong Chan Daeng	Chong Chan Daeng	CHANDAENG CHONG	Chan Daeng, Chong	Chan Daeng, Chong		2010-05-12
